Wall time,Step,Value
1755044495.364737,300,0.13818681240081787
1755044956.3376276,601,0.10937733203172684
1755045417.8114717,902,0.10504794865846634
1755045879.1928954,1203,0.10648973286151886
1755046340.1807375,1504,0.134771466255188
1755046798.259558,1805,0.0996861606836319
1755047259.6712098,2106,0.09791925549507141
1755047721.11125,2407,0.09770986437797546
1755048182.7369947,2708,0.09720699489116669
1755048644.4279168,3009,0.09662429988384247
1755049106.175908,3310,0.09655999392271042
1755049568.2459264,3611,0.09595882147550583
1755050029.5134146,3912,0.10114794224500656
1755050487.614958,4213,0.10220779478549957
1755050945.339212,4514,0.09749835729598999
1755051403.089305,4815,0.09897904843091965
1755051860.8032558,5116,0.10833250731229782
1755052318.3027117,5417,0.0978492945432663
1755052776.3344085,5718,0.09802376478910446
1755053237.7419786,6019,0.09977979212999344
1755053695.8652704,6320,0.09809891879558563
1755054157.6247323,6621,0.09802556782960892
1755054619.1461422,6922,0.09690488874912262
1755055080.3248627,7223,0.09669709950685501
1755055538.7394447,7524,0.09662219882011414
1755056000.1450584,7825,0.09687834233045578
1755056457.7039702,8126,0.09873146563768387
1755056915.5716815,8427,0.1055908203125
1755057373.4671733,8728,0.10632656514644623
1755057831.0336964,9029,0.10594742000102997
1755058289.0185473,9330,0.10433722287416458
1755058746.8918364,9631,0.10354854166507721
1755059204.815354,9932,0.10635405033826828
1755059662.5638013,10233,0.09919369965791702
1755060120.4595451,10534,0.0993160679936409
1755060578.0455332,10835,0.10968494415283203
1755061035.7622542,11136,0.10293073207139969
1755061493.775628,11437,0.10384105145931244
1755061951.4008038,11738,0.10435710847377777
1755062409.5136957,12039,0.11213713884353638
1755062867.2106385,12340,0.10715009272098541
1755063324.737083,12641,0.10476773977279663
1755063782.3242767,12942,0.10492146760225296
